Fecha de Sistema,Documento,Descripcion motivo,Transaccion,Oficina de Recaudo,ID Origen/Destino,Valor Cheque,Valor Total,Referencia 1,Referencia 2
17/02/2026,50745749,Abono ACH 901483876 LA ALEGRIA IV CO,Nota Credito,PROCESOS ACH,901483876,0,517400,0000000150745749,0000000000000000
18/02/2026,5980864,Pagos por Internet CAMARA DE COMERCIO DE B,Nota Debito,PORTAL PYMES,0,0,316.69,0000000005980864,0000000000000000
