Comprobante,Fecha elaboración,Identificación,Sucursal,Nombre tercero,Base gravada,Base exenta,IVA,Impoconsumo,AD-Valorem,Cargo en totales,Descuento en totales,Total
FV-2-2112,20/02/2026,900226810,,AGRUPACION DE VIVIENDA JACARANDA - PH,250000,0,47500,0,0,0,0,297500
NC-2-63,27/02/2026,900983988,,CONJUNTO RESIDENCIAL EL TRIUNFO 1 - PH,-250000,0,-47500,0,0,0,0,-297500
